Неделя;2026-W17
Дата;Время;Имя;Возраст;Пол;SessionID;Событие;Экран;Тест;Этап;Действие;Длительность_мс;X;Y;Крен;Значение;Примечание
25.04.2026;12:11:03;ай;11;Мужской;20260425_121103_910871;registration;start_page;;;submit;;;;;;Регистрационная форма принята. completed=-
25.04.2026;12:11:03;ай;11;Мужской;20260425_121103_910871;menu_event;test_menu;;;open_menu;;;;;;next=A
25.04.2026;12:11:05;ай;11;Мужской;20260425_121103_910871;menu_event;test_menu;test_a;;launch_requested;;;;;;Слежение за объектом
25.04.2026;12:11:10;ай;11;Мужской;20260425_121103_910871;method_session;method_a;method_a;;launch;;;;;;"Крен управляется колесом мыши; фон неба и объект-самолёт активированы"
25.04.2026;12:11:10;ай;11;Мужской;20260425_121103_910871;stage_event;method_a;method_a_stage;1;stage_start;;;;;;axes=X
25.04.2026;12:11:41;ай;11;Мужской;20260425_121103_910871;stage_report;method_a;method_a_stage;1;stage_end;30012;3.5007;1.3377;1.1154;0;"axes=X; gamma=0.9559; h=0.0441; tr=1.1154"
25.04.2026;12:11:41;ай;11;Мужской;20260425_121103_910871;stage_event;method_a;method_a_stage;2;stage_start;;;;;;axes=X,Y
25.04.2026;12:12:22;ай;11;Мужской;20260425_121103_910871;stage_report;method_a;method_a_stage;2;stage_end;40006;5.3042;2.3709;1.2102;0;"axes=X,Y; gamma=1.3690; h=0.0650; tr=1.2102"
25.04.2026;12:12:22;ай;11;Мужской;20260425_121103_910871;stage_event;method_a;method_a_stage;3;stage_start;;;;;;axes=X,Y,Z
25.04.2026;12:12:56;ай;11;Мужской;20260425_121103_910871;stage_event;method_a;method_a_stage;3;crash;33317;489.538;51.957;9.647;1;"axes=X,Y,Z; y_tek=8.2187; y_sigma=51.9566; step=0.50s"
25.04.2026;12:13:04;ай;11;Мужской;20260425_121103_910871;stage_event;method_a;method_a_stage;3;crash;41232;-446.258;73.645;-7.135;2;"axes=X,Y,Z; y_tek=11.5960; y_sigma=73.6453; step=0.50s"
25.04.2026;12:13:08;ай;11;Мужской;20260425_121103_910871;stage_event;method_a;method_a_stage;3;crash;44670;-454.267;98.321;-20.628;3;"axes=X,Y,Z; y_tek=16.4195; y_sigma=98.3211; step=0.50s"
25.04.2026;12:13:23;ай;11;Мужской;20260425_121103_910871;stage_report;method_a;method_a_stage;3;stage_end;60014;8.2733;2.4617;21.1696;3;"axes=X,Y,Z; gamma=1.7169; h=0.0266; tr=21.1696"
25.04.2026;12:13:23;ай;11;Мужской;20260425_121103_910871;method_session;method_a;method_a;;completed;;;;;;json=method_a_results_20260425_121103_910871.json
25.04.2026;12:13:25;ай;11;Мужской;20260425_121103_910871;summary;test_menu;method_a;;session_finished;;;;;3;Методика А завершена, данные добавлены в participants.csv и user_progress.json
25.04.2026;12:13:29;ай;11;Мужской;20260425_121103_910871;menu_event;test_menu;test_a;;marked_completed;;;;;;Тест А завершён и сохранён.
25.04.2026;13:11:45;цу;44;Мужской;20260425_131145_607374;registration;start_page;;;submit;;;;;;Регистрационная форма принята. completed=-
25.04.2026;13:11:45;цу;44;Мужской;20260425_131145_607374;menu_event;test_menu;;;open_menu;;;;;;next=A
25.04.2026;13:11:46;цу;44;Мужской;20260425_131145_607374;menu_event;test_menu;test_a;;launch_requested;;;;;;Слежение за объектом
25.04.2026;13:11:49;цу;44;Мужской;20260425_131145_607374;method_session;method_a;method_a;;launch;;;;;;"Крен управляется колесом мыши; фон неба и объект-самолёт активированы"
25.04.2026;13:11:49;цу;44;Мужской;20260425_131145_607374;stage_event;method_a;method_a_stage;1;stage_start;;;;;;axes=X
25.04.2026;13:11:58;цу;44;Мужской;20260425_131145_607374;stage_event;method_a;method_a_stage;1;crash;7553;452.712;27.921;0.0;1;"axes=X; y_tek=14.1524; y_sigma=27.9211; step=0.50s"
25.04.2026;13:12:11;цу;44;Мужской;20260425_131145_607374;stage_event;method_a;method_a_stage;1;crash;20457;-445.732;82.007;0.0;2;"axes=X; y_tek=13.4684; y_sigma=82.0073; step=0.50s"
25.04.2026;13:12:14;цу;44;Мужской;20260425_131145_607374;stage_event;method_a;method_a_stage;1;crash;23952;450.368;85.162;0.0;3;"axes=X; y_tek=0.0000; y_sigma=85.1618; step=0.50s"
25.04.2026;13:12:17;цу;44;Мужской;20260425_131145_607374;stage_event;method_a;method_a_stage;1;crash;26637;-446.799;93.466;0.0;4;"axes=X; y_tek=11.5814; y_sigma=93.4656; step=0.50s"
25.04.2026;13:12:19;цу;44;Мужской;20260425_131145_607374;stage_report;method_a;method_a_stage;1;stage_end;29008;3.0482;3.4781;0.162;4;"axes=X; gamma=0.7974; h=0.2026; tr=0.1620"
